varname	groupname
Cystopteris fragilis-type	Vascular cryptogams (Pteridophytes)
Cystopteris-type	Vascular cryptogams (Pteridophytes)
Cystopteris undiff.	Vascular cryptogams (Pteridophytes)
Scrophulariaceae (colporate-reticulate)	Herbs
Cryptogramma crispa	Vascular cryptogams (Pteridophytes)
Diphasium alpinum	Vascular cryptogams (Pteridophytes)
Diphasium cf. D. alpinum	Vascular cryptogams (Pteridophytes)
Diphasium complanatum-type	Vascular cryptogams (Pteridophytes)
Dryopteris	Vascular cryptogams (Pteridophytes)
Dryopteris carthusiana-type	Vascular cryptogams (Pteridophytes)
Dryopteris dilatata	Vascular cryptogams (Pteridophytes)
Dryopteris filix-mas	Vascular cryptogams (Pteridophytes)
Dryopteris filix-mas-type	Vascular cryptogams (Pteridophytes)
Dryopteris-type	Vascular cryptogams (Pteridophytes)
Equisetum	Vascular cryptogams (Pteridophytes)
Filicopsida	Vascular cryptogams (Pteridophytes)
Filicopsida trilete undiff.	Vascular cryptogams (Pteridophytes)
Filicopsida monolete undiff.	Vascular cryptogams (Pteridophytes)
Filicopsida undiff.	Vascular cryptogams (Pteridophytes)
Gymnocarpium	Vascular cryptogams (Pteridophytes)
Gymnocarpium dryopteris	Vascular cryptogams (Pteridophytes)
Gymnocarpium dryopteris-type	Vascular cryptogams (Pteridophytes)
Huperzia selago	Vascular cryptogams (Pteridophytes)
Hymenophyllum	Vascular cryptogams (Pteridophytes)
Isoetes	Aquatic Pteridophyta
Isoetes lacustris	Aquatic Pteridophyta
Isoetes setacea	Aquatic Pteridophyta
Lepidotis inundata	Vascular cryptogams (Pteridophytes)
Lycopodiaceae	Vascular cryptogams (Pteridophytes)
Lycopodiaceae undiff.	Vascular cryptogams (Pteridophytes)
Lycopodium	Vascular cryptogams (Pteridophytes)
Lycopodium cf. L. clavatum (tetrad)	Vascular cryptogams (Pteridophytes)
Lycopodium annotinum	Vascular cryptogams (Pteridophytes)
Lycopodium clavatum	Vascular cryptogams (Pteridophytes)
Lycopodium undiff.	Vascular cryptogams (Pteridophytes)
Matteuccia	Vascular cryptogams (Pteridophytes)
Matteuccia-type	Vascular cryptogams (Pteridophytes)
Lamiaceae (hexacolpate)	Herbs
Osmunda regalis	Vascular cryptogams (Pteridophytes)
Ophioglossum	Vascular cryptogams (Pteridophytes)
Pilularia	Aquatic Pteridophyta
Polypodium	Vascular cryptogams (Pteridophytes)
Polypodium vulgare	Vascular cryptogams (Pteridophytes)
Polypodium vulgare-type	Vascular cryptogams (Pteridophytes)
Polystichum-type	Vascular cryptogams (Pteridophytes)
Pteridium	Vascular cryptogams (Pteridophytes)
Pteridium aquilinum	Vascular cryptogams (Pteridophytes)
Pteridium-type	Vascular cryptogams (Pteridophytes)
Pteridophyta monolete undiff.	Vascular cryptogams (Pteridophytes)
Pteridophyta trilete undiff.	Vascular cryptogams (Pteridophytes)
Pteridophyta undiff.	Vascular cryptogams (Pteridophytes)
Salvinia	Aquatic Pteridophyta
Salvinia natans	Aquatic Pteridophyta
Selaginella	Vascular cryptogams (Pteridophytes)
Selaginella helvetica	Vascular cryptogams (Pteridophytes)
Selaginella selaginoides	Vascular cryptogams (Pteridophytes)
Thelypteris palustris	Vascular cryptogams (Pteridophytes)
Thelypteris palustris-type	Vascular cryptogams (Pteridophytes)
cf. Thelypteris palustris	Vascular cryptogams (Pteridophytes)
Thelypteris phegopteris	Vascular cryptogams (Pteridophytes)
Woodsia-type	Vascular cryptogams (Pteridophytes)
Indeterminable: broken	Indeterminables and unknowns
Indeterminable: concealed	Indeterminables and unknowns
Indeterminable: corroded	Indeterminables and unknowns
Indeterminable: degraded	Indeterminables and unknowns
Indeterminable: deteriorated	Indeterminables and unknowns
Indeterminable: undiff.	Indeterminables and unknowns
Indeterminable: unknown	Indeterminables and unknowns
Anthoceros punctatus	Bryophytes
Bryophyte spores	Bryophytes
cf. Moss spore	Indeterminables and unknowns
Unknown	Indeterminables and unknowns
Sphagnum	Bryophytes
Fungal spore undiff.	Fungi
Tilletia sphagni	Fungi
Pre-Quaternary spores	Pre-Quaternary type
Abies: stomata	Vegetative microfossils
Ceratophyllum: hairs	Vegetative microfossils
Lamiaceae (tricolpate)	Herbs
Charcoal	Charcoal
Periporate undiff.	Indeterminables and unknowns
Botryococcus	Algae
Pediastrum	Algae
Pediastrum duplex	Algae
Pediastrum integrum	Algae
Nymphaea alba	Aquatics
Indeterminable: crumpled	Indeterminables and unknowns
Cytisus sect. Sarothamnus	Trees and shrubs
Rubus-type	Trees and shrubs
Centaurea jacea	Herbs
Trifolium pratense	Herbs
Trifolium repens	Herbs
Medicago lupulina	Herbs
Potentilla subg. Comarum	Herbs
Anagallis tenella	Herbs
cf. Hottonia	Indeterminables and unknowns
Drosera rotundifolia	Helophytes
Cyperaceae undiff.	Helophytes
Carex-type	Helophytes
Scirpus-type	Helophytes
Gramineae undiff.	Herbs
Vaccinium myrtillus	Dwarf shrubs
Sisymbrium goesingense	Herbs
Armeria maritima (type B)	Herbs
Geum cf. G. urbanum	Herbs
Erica cinerea	Dwarf shrubs
Hyacinthoides/Scilla	Herbs
Hydrocotyle vulgaris	Herbs
Scrophulariaceae undiff.	Herbs
Ulex	Trees and shrubs
Erica cf. E. tetralix	Dwarf shrubs
Erica tetralix	Dwarf shrubs
Lotus cf. L. corniculatus	Herbs
Ophioglossum vulgatum	Vascular cryptogams (Pteridophytes)
Saxifraga cf. S. cespitosa	Herbs
cf. Trollius europaeus	Indeterminables and unknowns
Rosaceae subg. Amygdalus	Trees and shrubs
Plantago cf. P. media	Herbs
Polytrichum	Bryophytes
Vicia cf. V. sepium	Herbs
Microthyriaceae	Fungi
cf. Cornus suecica	Trees and shrubs
Ranunculus cf. R. bulbosus	Herbs
cf. Myrica	Trees and shrubs
cf. Pilularia	Indeterminables and unknowns
Vicia cf. V. hirsuta	Herbs
Armeria/Limonium	Herbs
Campanula cf. C. rotundifolia	Herbs
cf. Astragalus	Indeterminables and unknowns
cf. Viburnum	Indeterminables and unknowns
Astragalus cf. A. glycyphyllos	Herbs
Arctium cf. A. minus	Herbs
Saussurea	Herbs
Compositae undiff.	Herbs
Chenopodiaceae/Amaranthaceae	Herbs
Saxifraga cf. S. rivularis	Herbs
cf. Campanula	Herbs
Saxifraga cf. S. hypnoides	Herbs
Betula nana-type	Dwarf shrubs
cf. Labiatae	Indeterminables and unknowns
cf. Rubus	Trees and shrubs
Lycopodium cf. L. annotinum	Vascular cryptogams (Pteridophytes)
Valeriana undiff.	Herbs
Pastinaca-type	Herbs
Ambrosia	Herbs
Rhynchospora	Helophytes
Lysimachia cf. L. vulgaris	Herbs
Celtis australis	Trees and shrubs
Sphagnum imbricatum	Macrofossils
Leguminosae cf. Astragalus	Herbs
Cruciferae-type	Herbs
Sagina cf. S. nodosa	Herbs
Anthriscus caucalis	Herbs
Pinus cembra	Trees and shrubs
Compositae	Herbs
Thelypteris-type	Vascular cryptogams (Pteridophytes)
Leptobasis goesingense	Algae
Bryophyte spores undiff.	Bryophytes
Lotus uliginosus-type	Herbs
cf. Rhodiola rosea	Indeterminables and unknowns
Carduus	Herbs
Hypericum pulchrum	Herbs
Betula pubescens	Trees and shrubs
Elymus	Herbs
Diphasium alpinum-type	Vascular cryptogams (Pteridophytes)
Acer pseudoplatanus	Trees and shrubs
Prunus spinosa-type	Trees and shrubs
Prunus avium	Trees and shrubs
Chenopodium	Herbs
Viburnum lantana	Trees and shrubs
Sherardia arvensis	Herbs
Linum perenne	Herbs
Arenaria/Silene	Herbs
Rhizopoda	Rhizopods
Fungal Hyphae	Fungi
Prunus avium/P. spinosa	Trees and shrubs
Varia	Indeterminables and unknowns
Filipendula vulgaris	Herbs
Chrysosplenium oppositifolium	Helophytes
cf. Ophioglossum vulgatum	Vascular cryptogams (Pteridophytes)
Viola palustris	Herbs
Trifolium pratense-type	Herbs
Salix pentandra-type	Trees and shrubs
Hypericum androsaemum	Herbs
Trifolium repens-type	Herbs
cf. Carpinus betulus	Indeterminables and unknowns
Liliaceae undiff.	Herbs
Lobelia/Digitalis	Herbs
cf. Geranium	Indeterminables and unknowns
Clematis	Trees and shrubs
Acer cf. A. negundo	Trees and shrubs
Spergularia	Herbs
Polygonum lapathifolium	Herbs
cf. Chrysosplenium	Indeterminables and unknowns
cf. Geum	Indeterminables and unknowns
cf. Digitalis	Indeterminables and unknowns
Rhamnus-type	Trees and shrubs
Linum cf. L. perenne subsp. anglicum	Herbs
Senecio	Herbs
Lycopodium-type	Vascular cryptogams (Pteridophytes)
Papaver-type	Herbs
Rubiaceae cf. Galium	Herbs
Betula pubescens subsp. tortuosa	Trees and shrubs
Salix reticulata	Trees and shrubs
Centaurea-type	Herbs
Sedum-type	Herbs
Polygonum cf. P. bistorta	Herbs
Scutellaria	Herbs
cf. Rubus idaeus	Trees and shrubs
Cladium-type	Helophytes
Vaccinium oxycoccos	Dwarf shrubs
Orthilia cf. O. secunda	Dwarf shrubs
Sedum anglicum	Herbs
cf. Anagallis	Indeterminables and unknowns
cf. Oxyria	Indeterminables and unknowns
cf. Tussilago	Indeterminables and unknowns
Bartsia-type	Herbs
Scrophularia nodosa-type	Herbs
Mahonia	Trees and shrubs
cf. Callitriche	Indeterminables and unknowns
cf. Isoetes	Indeterminables and unknowns
cf. Tofieldia	Indeterminables and unknowns
cf. Gentianella campestris	Herbs
cf. Calluna	Dwarf shrubs
Astragalus alpinus-type	Herbs
Narthecium-type	Herbs
Dicotyledones	Indeterminables and unknowns
Monocotyledones	Indeterminables and unknowns
Isoetes (type A)	Aquatic Pteridophyta
Encalypta rhabdocarpa	Bryophytes
cf. Quercus	Indeterminables and unknowns
Cornus mas	Trees and shrubs
Plantago alpina-type	Herbs
Quercus coccifera	Trees and shrubs
Aceraceae	Trees and shrubs
Syringa	Trees and shrubs
Rhamnus/Paliurus	Trees and shrubs
Rhodiola rosea	Herbs
Acer campestre	Trees and shrubs
Anemone	Herbs
Antennaria-type	Herbs
Apium nodiflorum	Herbs
Apium-type	Herbs
Arctostaphylos	Dwarf shrubs
Arctostaphylos undiff.	Dwarf shrubs
Armeria maritima (type A)	Herbs
Athyrium distentifolium-type	Vascular cryptogams (Pteridophytes)
Berula-type	Helophytes
Caltha palustris-type	Helophytes
Cannabaceae	Herbs
Cerastium fontanum subsp. triviale	Herbs
Cerastium undiff.	Herbs
cf. Astragalus danicus	Herbs
cf. Cladium mariscus	Helophytes
cf. Frangula	Indeterminables and unknowns
cf. Lotus	Indeterminables and unknowns
Jasminum	Trees and shrubs
cf. Mercurialis	Indeterminables and unknowns
cf. Oxytropis	Indeterminables and unknowns
cf. Taraxacum	Herbs
cf. Populus	Indeterminables and unknowns
cf. Rhodiola	Indeterminables and unknowns
cf. Salix herbacea	Trees and shrubs
cf. Vicia	Indeterminables and unknowns
Circaea lutetiana	Herbs
Convolvulus arvensis	Herbs
Corydalis claviculata	Herbs
Cruciferae undiff.	Herbs
Cystopteris	Vascular cryptogams (Pteridophytes)
Drosera cf. D. intermedia	Helophytes
Exotic grains	Nonpollen
Helleborus	Herbs
Glyceria-type	Herbs
Helianthemum nummularium	Herbs
Heracleum sphondylium	Herbs
Hippophae rhamnoides	Trees and shrubs
Hymenophyllum wilsonii	Vascular cryptogams (Pteridophytes)
Hystrichosphaerids	Dinoflagellates
Solanum-type	Herbs
Jasione montana-type	Herbs
Labiatae undiff.	Herbs
Linum perenne subsp. anglicum	Herbs
Lotus undiff.	Herbs
Lychnis	Herbs
Lycopodium clavatum-type	Vascular cryptogams (Pteridophytes)
Lysimachia vulgaris-type	Herbs
Microthyrium	Fungi
Montia fontana	Herbs
Myrica-type	Trees and shrubs
Oxyria digyna	Herbs
Phragmites-type	Herbs
Polygonum oxyspermum subsp. raii	Herbs
Polygonum undiff.	Herbs
Ranunculus repens-type	Herbs
Rubus fruticosus-type	Trees and shrubs
Rumex crispus	Herbs
Rumex obtusifolius	Herbs
Sagittaria sagitifolia	Helophytes
Scrophularia/Verbascum	Herbs
Salix undiff.	Trees and shrubs
Samolus	Herbs
Samolus valerandi	Herbs
Sanicula europaea	Herbs
Saxifraga cf. S. aizoides	Herbs
Saxifraga granulata	Herbs
Scleranthus-type	Herbs
Sedum acre	Herbs
Silene vulgaris subsp. maritima-type	Herbs
Solanum	Herbs
Sorbus aria	Trees and shrubs
Sorbus cf. S. rupicola	Trees and shrubs
Sparganium cf. S. minimum	Helophytes
Sparganium emersum-type	Helophytes
Sparganium erectum	Helophytes
Spergula/Spergularia	Herbs
Stachys	Herbs
Stellaria-type	Herbs
Tilia platyphyllos	Trees and shrubs
Tofieldia pusilla	Herbs
Trifolium cf. T. repens	Herbs
Vicia cracca	Herbs
Viscum album	Trees and shrubs
Xanthium-type	Herbs
Ranunculus lingua	Herbs
cf. Ligusticum	Herbs
Atriplex	Herbs
cf. Atriplex	Herbs
Silene	Herbs
cf. Silene	Herbs
Cerastium	Herbs
cf. Cerastium	Herbs
cf. Filipendula	Indeterminables and unknowns
Saxifraga rosacea	Herbs
Saxifraga rivularis	Herbs
cf. Epilobium	Herbs
Athyrium	Vascular cryptogams (Pteridophytes)
cf. Athyrium	Vascular cryptogams (Pteridophytes)
cf. Sorbus	Trees and shrubs
cf. Pteridium	Vascular cryptogams (Pteridophytes)
cf. Thymus	Herbs
cf. Odontites	Indeterminables and unknowns
Ephedra strobilaceae-type	Trees and shrubs
Helianthemum oelandicum-type	Herbs
Rhamnus/Frangula	Trees and shrubs
Pimpinella major-type	Herbs
Labiatae cf. Marrubium	Herbs
Radiola linoides	Herbs
Rumex-type	Herbs
Ranunculus subg. Batrachium-type	Aquatics
Derived spores	Indeterminables and unknowns
Secale-type	Herbs
Pinus: stomata	Vegetative microfossils
Hystrix	Dinoflagellates
Ledum palustre	Dwarf shrubs
Gypsophila-type	Herbs
Bryales	Bryophytes
Pediastrum boryanum	Algae
Amphitrema flavum	Rhizopods
Euglypha	Rhizopods
Colchicum-type	Herbs
Mougeotia	Algae
Scheuchzeria palustris	Helophytes
Staurastrum	Algae
Sambucus nigra-type	Trees and shrubs
Botryococcus braunii	Algae
Papaveraceae	Herbs
Pediastrum boryanum subsp. boryanum	Algae
Pediastrum boryanum subsp. cornutum	Algae
Pediastrum boryanum subsp. longicorne	Algae
Pediastrum duplex subsp. rugulosum	Algae
Pediastrum simplex	Algae
Coelastrum reticulatum	Algae
Scenedesmus	Algae
Tetraedron minimum	Algae
cf. Ceratophyllum trichome	Indeterminables and unknowns
Pediastrum undiff.	Algae
Trochiscia undiff.	Algae
cf. Amphitrema flavum	Rhizopods
cf. Euglypha	Indeterminables and unknowns
Adiantum	Vascular cryptogams (Pteridophytes)
Anemone nemorosa	Herbs
Anthericum-type	Herbs
Ephedra fragilis subsp. campylopoda	Trees and shrubs
Ferula-type	Herbs
Jurinea-type	Herbs
Pinus diploxylon	Trees and shrubs
Pinus peuce	Trees and shrubs
Saxifraga hirsuta-type	Herbs
Salix glauca-type	Trees and shrubs
Trifolium alpestre-type	Herbs
Veratrum-type	Herbs
Verbascum-type	Herbs
Adonis-type	Herbs
Aster/Achillea	Herbs
Pinus halepensis	Trees and shrubs
Taraxacum	Herbs
Carduus-type	Herbs
Carpinus orientalis	Trees and shrubs
Centaurea depressa-type	Herbs
Geraniaceae	Herbs
Glaucium-type	Herbs
Aquilegia	Herbs
Trapa natans	Aquatics
Valeriana-type	Herbs
Arbutus unedo	Trees and shrubs
Asphodelus albus	Herbs
Betula alba	Trees and shrubs
Erica australis	Dwarf shrubs
Erica umbellata	Dwarf shrubs
Erica arborea-type	Trees and shrubs
Fritillaria lusitanica	Herbs
Gentiana lutea/G. pneumonanthe	Herbs
Halimium-type	Herbs
Hedwigia	Bryophytes
Helianthemum-type	Herbs
Juglans regia	Trees and shrubs
Liliaceae-type undiff.	Herbs
Narcissus bulbocodium	Herbs
Narcissus pseudonarcissus-type	Herbs
Nigella	Herbs
Olea europaea-type	Trees and shrubs
Pedicularis sylvatica	Herbs
Pinus pinaster	Trees and shrubs
Pinus sylvestris-type	Trees and shrubs
Sanguisorba officinalis-type	Herbs
Cytisus grandiflorus	Trees and shrubs
Veratrum album	Herbs
Epilobium angustifolium	Herbs
Gentiana undiff.	Herbs
cf. Prunus	Trees and shrubs
cf. Huperzia selago	Vascular cryptogams (Pteridophytes)
cf. Cirsium	Herbs
Hedysarum-type	Herbs
Boraginaceae cf. Cynoglossum	Herbs
Diphasium complanatum	Vascular cryptogams (Pteridophytes)
Calla palustris	Helophytes
Scrophularia	Herbs
Genista	Trees and shrubs
Hystrix (type B)	Dinoflagellates
Hystrix (type A)	Dinoflagellates
Rumex cf. R. hydrolapathum	Herbs
Rumex hydrolapathum	Herbs
Valeriana cf. V. officinalis subsp. sambucifolia	Herbs
Trifolium striatum	Herbs
Amphitrema	Rhizopods
Daphne mezereum	Dwarf shrubs
cf. Plantago media	Herbs
cf. Parnassia	Indeterminables and unknowns
cf. Centaurea cyanus	Herbs
Betula-type	Trees and shrubs
Gentianella campestris-type	Herbs
Anthemis	Herbs
Astragalus cf. A. alpinus	Herbs
Gentiana-type	Herbs
Ligustrum vulgare	Trees and shrubs
Pinguicula vulgaris	Herbs
Saxifraga aizoides-type	Herbs
Sorbus cf. S. aucuparia	Trees and shrubs
Prunus spinosa	Trees and shrubs
Thelypteris	Vascular cryptogams (Pteridophytes)
Sorbus undiff.	Trees and shrubs
Dryopteris carthusiana	Vascular cryptogams (Pteridophytes)
Artemisia norvegica-type	Herbs
Oxytropis	Herbs
Caltha palustris	Helophytes
cf. Dryopteris filix-mas	Vascular cryptogams (Pteridophytes)
Hedysarum cf. H. hedysaroides	Herbs
cf. Plantago coronopus	Herbs
cf. Narthecium	Indeterminables and unknowns
Rumex cf. R. acetosa	Herbs
Artemisia campestris-type	Herbs
cf. Menyanthes	Indeterminables and unknowns
cf. Hippophae rhamnoides	Indeterminables and unknowns
cf. Leguminosae	Indeterminables and unknowns
Helianthemum nummularium-type	Herbs
Salix anther	Macrofossils
cf. Saxifraga oppositifolia	Herbs
Valeriana dioica	Herbs
Cerastium/Stellaria	Herbs
Vaccinium subg. Oxycoccus	Dwarf shrubs
Trilete spore(s) undiff.	Vascular cryptogams (Pteridophytes)
Trilete spore(s)	Vascular cryptogams (Pteridophytes)
Scleranthus annuus	Herbs
Rosaceae (type A)	Trees and shrubs
Rosaceae (type B)	Trees and shrubs
Monolete spore(s)	Vascular cryptogams (Pteridophytes)
Botrychium-type	Vascular cryptogams (Pteridophytes)
Gypsophila repens-type	Herbs
Gentianella amarella-type	Herbs
Cistus undiff.	Trees and shrubs
Corema album	Dwarf shrubs
Erica australis-type	Dwarf shrubs
Erica lusitanica	Dwarf shrubs
Erica umbellata-type	Dwarf shrubs
Loeflingia	Herbs
Ononis baetica-type	Herbs
Pimpinella	Herbs
Chenopodiaceae-type	Herbs
Tilia x vulgaris	Trees and shrubs
Sparganium minimum-type	Helophytes
Tilletia	Fungi
Typhaceae	Helophytes
Myricaceae	Trees and shrubs
Equisetaceae	Vascular cryptogams (Pteridophytes)
Sparganiaceae	Helophytes
Drosera anglica	Helophytes
Hyacinthoides	Herbs
cf. Gentiana pneumonanthe	Herbs
Oxyria (type 1)	Herbs
Oxyria (type 2)	Herbs
Ranunculaceae (type 1)	Herbs
Ranunculaceae (type 2)	Herbs
cf. Oxyria/Rumex acetosa	Indeterminables and unknowns
Saxifraga caesia	Herbs
Picea omorika	Trees and shrubs
Riccia-type	Bryophytes
Knautia/Succisa	Herbs
cf. Papilionaceae	Indeterminables and unknowns
Ranunculus repens	Herbs
Anthoceros	Bryophytes
Scleranthus perennis	Herbs
Pinus (type A)	Trees and shrubs
Unknown pollen	Indeterminables and unknowns
Unknown spore(s)	Indeterminables and unknowns
Sagina cf. S. procumbens	Herbs
Monolete spore(s) undiff.	Vascular cryptogams (Pteridophytes)
Paronychia	Herbs
Cichorium-type	Herbs
Crepis	Herbs
Malcolmia	Herbs
Paronychia-type	Herbs
Celastraceae	Trees and shrubs
Nuphar pumila	Aquatics
Pinus (type 2)	Trees and shrubs
Plantago-type	Herbs
Calligonum	Trees and shrubs
Calligonum comosum	Trees and shrubs
Coriaria myrtifolia	Trees and shrubs
Pistacia terebinthus	Trees and shrubs
Juniperus: stomata	Vegetative microfossils
Larix: stomata	Vegetative microfossils
Liliaceae-type	Herbs
Lilium martagon-type	Herbs
Myosotis arvensis-type	Herbs
Picea: stomata	Vegetative microfossils
Plantago montana-type	Herbs
Selaginella helvetica-type	Vascular cryptogams (Pteridophytes)
Veratrum	Herbs
Plantago atrata-type	Herbs
Jasione-type	Herbs
Cornus mas/C. suecica	Trees and shrubs
Athyrium alpestre-type	Vascular cryptogams (Pteridophytes)
Avena/Triticum-type	Herbs
Calystegia-type	Herbs
Cannabis sativa	Herbs
Echium/Onosma	Herbs
Erica arborea	Trees and shrubs
Erica cinerea/E. tetralix	Dwarf shrubs
Glaux maritima	Herbs
Hottonia palustris	Herbs
Hypericum calycinum-type	Herbs
Lycopodium annotinum-type	Vascular cryptogams (Pteridophytes)
Mercurialis perennis-type	Herbs
Plantago coronopus-type	Herbs
Polystichum	Vascular cryptogams (Pteridophytes)
Avena/Triticum	Herbs
Agrimonia/Aremonia	Herbs
Cytisus scoparius-type	Trees and shrubs
Alchemilla/Aphanes	Herbs
Asphodelus/Asphodeline	Herbs
Athyrium/Woodsia	Vascular cryptogams (Pteridophytes)
Primula veris-type	Herbs
Quercus ilex	Trees and shrubs
Quercus suber	Trees and shrubs
Acer campestre-type	Trees and shrubs
Carya-type	Trees and shrubs
Pediastrum araneosum	Algae
Thalictrum alpinum	Herbs
cf. Aesculus	Indeterminables and unknowns
Potamogeton cf. P. pectinatus	Aquatics
cf. Vicia cracca	Indeterminables and unknowns
Triglochin cf. T. palustris	Helophytes
Erica cf. E. cinerea	Dwarf shrubs
Prunus cf. P. avium	Trees and shrubs
Euphorbia-type	Herbs
Primula-type	Herbs
Verbena officinalis	Herbs
cf. Crocus	Indeterminables and unknowns
Stachys/Lamium	Herbs
Helianthemum oelandicum subsp. alpestre	Herbs
Limonium	Herbs
Plantago cf. P. lanceolata	Herbs
Anagallis arvensis	Herbs
Assulina	Rhizopods
Tetraedron cf. T. minimum	Algae
Euastrum cf. E. pectinatum	Algae
cf. Medicago falcata	Indeterminables and unknowns
Saxifraga cernua/S. rivularis	Herbs
Artemisia (Type A)	Herbs
Artemisia (Type B)	Herbs
Artemisia (Type C)	Herbs
Artemisia (Type D)	Herbs
Gentiana cf. G. verna	Herbs
Arenaria-type sensu lato	Herbs
cf. Sagina	Herbs
Gypsophila fastigiata/G. repens	Herbs
Sedum acre-type	Herbs
cf. Frangula alnus	Indeterminables and unknowns
Gentianella cf. G. amarella	Herbs
Scenedesmus undiff.	Algae
Pediastrum angulosum var. asperum	Algae
Sambucus cf. S. nigra	Trees and shrubs
Linum flavum	Herbs
Centaurea undiff.	Herbs
Triglochin-type	Helophytes
Spirogyra	Algae
Amphitrema wrightiana	Rhizopods
Amphitrema undiff.	Rhizopods
Polypodium-type	Vascular cryptogams (Pteridophytes)
Oenanthe-type	Herbs
Ceratophyllum	Vegetative microfossils
Pediastrum angulosum	Algae
Centropyxis aculeata	Algae
Centaurea rhenana-type	Herbs
Scabiosa-type	Herbs
Knautia arvensis	Herbs
Iris-type	Herbs
Casuarina	Trees and shrubs
Elaeagnus	Trees and shrubs
Morus	Trees and shrubs
Punica granatum	Trees and shrubs
Thymelaea	Trees and shrubs
Leontice leontopetalum	Herbs
Anchusa/Pulmonaria	Herbs
Arnebia-type	Herbs
Moltkia	Herbs
Onosma-type	Herbs
Atriplex-type	Herbs
Spinacia-type	Herbs
Artemisia herba-alba-type	Herbs
Carthamus	Herbs
Cousinia	Herbs
Frankenia hirsuta-type	Herbs
Gladiolus	Herbs
Lupinus	Herbs
Phaseolus	Herbs
Plantago ovata-type	Herbs
Plantago tenuiflora-type	Herbs
Psylliostachys	Herbs
Atraphaxis	Trees and shrubs
Anemone nemorosa-type	Herbs
Aquilegia-type	Herbs
Clematis-type	Trees and shrubs
Ranunculus asiaticus-type	Herbs
Ranunculus sceleratus-type	Herbs
Asperula-type	Herbs
Haplophyllum	Herbs
Ruta	Trees and shrubs
Rhynchocorys	Herbs
Bunium-type	Herbs
Turgenia-type	Herbs
Tribulus terrestris	Herbs
Zygophyllum	Trees and shrubs
Typha undiff. (monad)	Helophytes
Plantago alpina	Herbs
Artemisia rupestris	Herbs
Chenopodium-type	Herbs
Salicornia-type	Herbs
Muscari-type	Herbs
Silene vulgaris subsp. maritima	Herbs
Syringa-type	Trees and shrubs
Ligustrum-type	Trees and shrubs
Salsola	Herbs
Jurinea	Herbs
Tanacetum-type	Herbs
Suaeda-type	Herbs
Centaurea/Serratula	Herbs
Eupatorium-type	Herbs
Succisa-type	Herbs
Quercus robur	Trees and shrubs
Quercus cerris	Trees and shrubs
Carex	Helophytes
Arceuthobium oxycedri	Trees and shrubs
Hypericum perforatum	Herbs
Sinapis	Herbs
Iridaceae	Herbs
Polemoniaceae	Herbs
Impatiens noli-tangere	Herbs
Rumex subg. Rumex-type	Herbs
Riccia	Bryophytes
Alismataceae	Helophytes
Amaryllidaceae	Herbs
Anacardiaceae	Indeterminables and unknowns
Haloragaceae	Aquatics
Nyssaceae	Pre-Quaternary type
Ligusticum	Herbs
Ranunculus flammula	Helophytes
Diphasium alpinum/D. complanatum	Vascular cryptogams (Pteridophytes)
Diphasium	Vascular cryptogams (Pteridophytes)
Orthilia	Dwarf shrubs
Ephedra fragilis subsp. campylopoda-type	Trees and shrubs
Aconitum-type	Herbs
Pedicularis-type	Herbs
Convolvulus-type	Herbs
Chelidonium-type	Herbs
Typha cf. T. angustifolia	Helophytes
Cerealia undiff.	Herbs
Diphasium-type	Vascular cryptogams (Pteridophytes)
Polygonatum	Herbs
Alkanna	Herbs
Ostrya/Carpinus orientalis	Trees and shrubs
Viburnum-type	Trees and shrubs
Phillyrea media	Trees and shrubs
Paliurus	Trees and shrubs
Cirsium/Gundelia	Herbs
Brassica-type	Herbs
Capsella-type	Herbs
Theligonum	Herbs
Scabiosa rotata	Herbs
Thymus/Mentha	Herbs
Urticales	Herbs
Assulina muscorum	Rhizopods
Lycopus europaeus	Herbs
Lythraceae	Herbs
Quercus suber-type	Trees and shrubs
Asphodelus-type	Herbs
Polypodiaceae undiff.	Vascular cryptogams (Pteridophytes)
Melilotus-type	Herbs
Peucedanum palustre-type	Herbs
Ligusticum scoticum	Herbs
Smilax	Herbs
Achillea/Aster	Herbs
Pulsatilla	Herbs
Suaeda	Herbs
Quercus frainetto	Trees and shrubs
Salsola-type	Herbs
Spathiflorae	Herbs
Nigella-type	Herbs
Polygonum-type	Herbs
Lactuca	Herbs
Xeranthemum	Herbs
Asplenium	Vascular cryptogams (Pteridophytes)
Calluna-type	Dwarf shrubs
Periploca	Trees and shrubs
Centaurea depressa	Herbs
Polypodiaceae	Vascular cryptogams (Pteridophytes)
Cannabaceae-type	Herbs
Betula exilis	Dwarf shrubs
Betula platyphylla	Trees and shrubs
Chrozophora tinctoria	Herbs
Artemisia (Type F)	Herbs
Astragalus danicus-type	Herbs
Chlorophyta undiff.	Algae
cf. Arctostaphylos	Dwarf shrubs
Gnaphalium-type	Herbs
Peucedanum-type	Herbs
Acritarchs	Acritarchs
Ephedra strobilacea	Trees and shrubs
cf. Gentiana	Herbs
Campanula/Jasione	Herbs
Eurumex	Herbs
cf. Utricularia	Indeterminables and unknowns
Calystegia sepium	Herbs
Carpinus-type	Trees and shrubs
Gelasinospora	Fungi
Helotium	Fungi
Polygonum lapathifolium-type	Herbs
Rumex hydrolapathum-type	Herbs
Polygonum amphibium-type	Aquatics
Potentilla recta	Herbs
Lychnis viscaria-type	Herbs
