varname	groupname
Daphne	Dwarf shrubs
Daphne sericea	Dwarf shrubs
Datisca cannabina	Herbs
Daucus-type	Herbs
Delphinium-type	Herbs
Dianthus	Herbs
Dianthus-type	Herbs
Diapensia lapponica	Dwarf shrubs
Digitalis	Herbs
Digitalis purpurea	Herbs
Digitalis-type	Herbs
Dipsacaceae	Herbs
Dipsacus	Herbs
Dipsacus-type	Herbs
Draba-type	Herbs
Drosera	Helophytes
Drosera cf. D. rotundifolia	Helophytes
Drosera intermedia	Helophytes
Drosera rotundifolia-type	Helophytes
Droseraceae	Helophytes
Polygonum-type (tricolporate)	Herbs
Dryas octopetala	Herbs
Dryas-type	Herbs
Dulichium-type	Helophytes
Echinops	Herbs
Echium	Herbs
Echium-type	Herbs
Elatine	Aquatics
Elymus-type	Herbs
Empetrum	Dwarf shrubs
Empetrum cf. E. nigrum	Dwarf shrubs
Empetrum nigrum	Dwarf shrubs
Lythrum hyssopifolia-type	Herbs
Empetrum-type	Dwarf shrubs
Engelhardtia	Trees and shrubs
Ephedra	Trees and shrubs
Ephedra distachya	Trees and shrubs
Ephedra distachya-type	Trees and shrubs
Ephedra fragilis	Trees and shrubs
Ephedra fragilis-type	Trees and shrubs
Ephedra undiff.	Trees and shrubs
Epilobium	Herbs
Epilobium-type	Herbs
Erica	Dwarf shrubs
Erica tetralix-type	Dwarf shrubs
Ericaceae	Dwarf shrubs
Ericaceae undiff.	Dwarf shrubs
Ericaceae-type	Dwarf shrubs
Ericaceae/Empetrum	Dwarf shrubs
Ericales	Dwarf shrubs
Ericales (tetrad)	Dwarf shrubs
Ericales undiff.	Dwarf shrubs
Eriocaulon	Helophytes
Eriogonum-type	Herbs
Eriophorum	Helophytes
Eriophorum-type	Helophytes
Erodium	Herbs
Eryngium-type	Herbs
Eucalyptus	Trees and shrubs
Euonymus	Trees and shrubs
Euonymus europaeus	Trees and shrubs
Euphorbia	Herbs
Euphorbia dendroides	Herbs
Euphorbiaceae	Herbs
Euphrasia	Herbs
Fagopyrum	Herbs
Fagopyrum-type	Herbs
Fagus	Trees and shrubs
Fagus sylvatica	Trees and shrubs
Festuca-type	Herbs
Ficus	Trees and shrubs
Filago-type	Herbs
Filipendula	Herbs
Filipendula ulmaria	Herbs
Fragaria vesca	Herbs
Frangula	Trees and shrubs
Frangula alnus	Trees and shrubs
Frankenia	Herbs
Fraxinus	Trees and shrubs
Fraxinus excelsior	Trees and shrubs
Fraxinus excelsior-type	Trees and shrubs
Fraxinus ornus	Trees and shrubs
Fritillaria	Herbs
Fumaria	Herbs
Gagea lutea-type	Herbs
Gagea pratensis-type	Herbs
Galeopsis-type	Herbs
Galium	Herbs
